round,node,cpus,driver,team,model,1,2,3
round9,charlie,10,default,TrinitySRITrojAI,id-3,0.19403401017189026,0.19403401017189026      
round9,pn120395,10,default,TrinitySRITrojAI,id-3,0.1940370500087738,0.1940370500087738  
round9,pn120395,10,460.106.00,TrinitySRITrojAI,id-3,0.1940370500087738,0.1940370500087738,0.1940370500087738 
round9,pn120395,10,470.129.06,TrinitySRITrojAI,0.19403705,0.1940370500087738,0.1940370500087738
round9,pn120395,10,495.29.05,TrinitySRITrojAI,0.1940370500087738,0.1940370500087738,0.1940370500087738
round9,pn120395,10,510.73.08,TrinitySRITrojAI,0.1940370500087738,0.1940370500087738,0.1940370500087738   
round9,p100,10,default,TrinitySRITrojAI,id-3,0.19403402507305145,0.19403402507305145
round9,pn116125,10,default,TrinitySRITrojAI,id-3,0.19403402507305145,0.19403402507305145
round9,kilo,10,default,TrinitySRITrojAI,id-3,0.19406385719776154,0.19406385719776154
round9,juliett,10,default,TrinitySRITrojAI,id-3,0.19406385719776154,0.19406385719776154
