round,node,cores,driver,team,1,2,3,DROP
round4,pn116125,10,default,Perspecta,,
round4,pn116125,10,default,Perspecta-IUB,,
round4,pn116125,10,default,Perspecta-PurdueRutgers,,
round4,pn116125,10,default,PL-GIFT,,
round4,pn116125,10,default,TrinitySRITrojAI,,
round4,pn116125,10,default,TrinitySRITrojAI-SBU,,
round4,pn116125,10,default,trojaicy,,
round4,pn120395,1,default,ARM-UMBC,,
round4,pn120395,1,default,Cassandra-XF,,
round4,pn120395,1,default,DRAFFT,,
round4,pn120395,1,default,Hector,,
round4,pn120395,1,default,IceTorch,,
round4,pn120395,1,default,ICSI,,
round4,pn120395,1,default,ICSI-UMD,,
round4,pn120395,1,default,NIST-baseline,,
round4,pn120395,1,default,NSEC,,
round4,pn120395,1,default,Perspecta,,
round4,pn120395,1,default,Perspecta-IUB,,
round4,pn120395,1,default,Perspecta-PurdueRutgers,,
round4,pn120395,1,default,PL-GIFT,,
round4,pn120395,1,default,TrinitySRITrojAI,,
round4,pn120395,1,default,TrinitySRITrojAI-SBU,,
round4,pn120395,1,default,trojaicy,,
round4,pn120395,10,default,ARM-UMBC,0.6267221570014954,0.5531312227249146,0.7040857076644897,
round4,pn120395,10,default,Cassandra-XF,,
round4,pn120395,10,default,DRAFFT,,
round4,pn120395,10,default,Hector,,
round4,pn120395,10,default,IceTorch,,
round4,pn120395,10,default,ICSI,0.4528874724855553,0.4570847037429323,0.4597011378581523,
round4,pn120395,10,default,ICSI-UMD,0.95,0.95,0.95,
round4,pn120395,10,default,NIST-baseline,,
round4,pn120395,10,default,NSEC,,
round4,pn120395,10,default,Perspecta,0.5165921198788622,0.22709089645476657,0.2926869520019576,
round4,pn120395,10,default,Perspecta-IUB,0.5666666666666667,0.5666666666666667,0.5666666666666667,
round4,pn120395,10,default,Perspecta-PurdueRutgers,0.2,0.2,0.2,
round4,pn120395,10,default,PL-GIFT,,
round4,pn120395,10,default,TrinitySRITrojAI,,
round4,pn120395,10,default,TrinitySRITrojAI-SBU,,
round4,pn120395,10,default,trojaicy,,
round9,charlie,1,default,ARM-UCSD,1,1,
round9,charlie,1,default,ICSI-1,,
round9,charlie,1,default,ICSI-2,0.8754834261672821,0.8782502605429716,
round9,charlie,1,default,ICSI-UMD,0.6309685299222515,0.6309685299222515,
round9,charlie,1,default,Perspecta,,
round9,charlie,1,default,Perspecta-IUB,0.7442245221742079,0.7442177480935017,
round9,charlie,1,default,Perspecta-PurdueRutgers,0.931,0.931,
round9,charlie,1,default,PL-GIFT,0.99,0.99,
round9,charlie,1,default,TrinitySRITrojAI,0.8789681196212769,0.8789681196212769,
round9,charlie,1,default,TrinitySRITrojAI-BostonU,0.5403459668159485,0.5337669849395752,
round9,charlie,1,default,TrinitySRITrojAI-SBU,0.9334236979484558,0.9347503185272217,
round9,charlie,1,default,trojai-example,0.5726022767019414,0.30355463677760586,
round9,charlie,10,default,ARM-UCSD,1,1,1,
round9,charlie,10,default,ICSI-1,,
